307,Elie Okobo\okoboel01,PG,21,PHO,6,1,104,15,37,.405,5,17,.294,10,20,.500,.473,9,10,.900,2,8,10,17,1,0,9,17,44
308,Josh Okogie\okogijo01,SG,20,MIN,7,5,201,27,70,.386,6,26,.231,21,44,.477,.429,14,17,.824,10,27,37,9,11,4,11,15,74
309,Victor Oladipo\oladivi01,SG,26,IND,9,9,298,79,165,.479,20,52,.385,59,113,.522,.539,23,37,.622,6,55,61,40,14,4,19,19,201
310,Kelly Olynyk\olynyke01,PF,27,MIA,7,4,143,23,46,.500,8,27,.296,15,19,.789,.587,14,17,.824,7,14,21,17,5,3,7,15,68
311,Cedi Osman\osmande01,SF,23,CLE,8,8,257,38,99,.384,16,39,.410,22,60,.367,.465,13,18,.722,10,30,40,25,7,2,27,18,105
312,Kelly Oubre\oubreke01,SF,23,WAS,8,0,224,39,91,.429,14,42,.333,25,49,.510,.505,25,28,.893,8,33,41,4,4,6,14,19,117
313,Zaza Pachulia\pachuza01,C,34,DET,7,0,107,8,23,.348,0,0,,8,23,.348,.348,15,20,.750,14,18,32,14,6,3,4,20,31
314,Jabari Parker\parkeja01,PF,23,CHI,9,2,255,52,117,.444,10,31,.323,42,86,.488,.487,14,22,.636,12,46,58,18,6,4,18,14,128
315,Tony Parker\parketo01,PG,36,CHO,8,0,145,31,69,.449,3,7,.429,28,62,.452,.471,18,22,.818,1,10,11,41,1,0,10,10,83
316,Chandler Parsons\parsoch01,SF,30,MEM,3,3,46,7,17,.412,3,10,.300,4,7,.571,.500,0,0,,1,3,4,2,1,1,2,7,17
317,Patrick Patterson\pattepa01,PF,29,OKC,8,3,144,19,48,.396,10,29,.345,9,19,.474,.500,8,10,.800,10,20,30,1,3,4,3,10,56
318,Chris Paul\paulch01,PG,33,HOU,5,5,171,37,88,.420,13,35,.371,24,53,.453,.494,21,25,.840,7,23,30,44,9,2,13,16,108
319,Cameron Payne\payneca01,PG,24,CHI,9,8,209,30,70,.429,12,30,.400,18,40,.450,.514,12,12,1.000,6,13,19,34,5,2,14,20,84
320,Elfrid Payton\paytoel01,PG,24,NOP,5,5,144,24,48,.500,3,7,.429,21,41,.512,.531,7,11,.636,7,23,30,32,4,1,11,14,58
321,Theo Pinson\pinsoth01,SG,23,BRK,2,0,10,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,1,1,3,0,0,0,0,2
322,Mason Plumlee\plumlma01,C,28,DEN,8,0,139,29,43,.674,0,1,.000,29,42,.690,.674,6,17,.353,16,21,37,12,10,5,13,23,64
323,Miles Plumlee\plumlmi01,C,30,ATL,5,0,44,10,12,.833,0,0,,10,12,.833,.833,5,9,.556,6,7,13,6,2,0,4,4,25
324,Jakob Poeltl\poeltja01,C,23,SAS,4,3,42,4,7,.571,0,0,,4,7,.571,.571,0,0,,10,5,15,5,1,0,2,5,8
325,Quincy Pondexter\pondequ01,SF,30,SAS,4,0,33,4,8,.500,0,2,.000,4,6,.667,.500,2,2,1.000,3,6,9,1,5,0,1,4,10
326,Otto Porter\porteot01,SF,25,WAS,8,8,231,33,76,.434,9,32,.281,24,44,.545,.493,8,10,.800,6,34,40,10,11,5,6,14,83
327,Bobby Portis\portibo01,PF,23,CHI,4,4,113,17,41,.415,3,11,.273,14,30,.467,.451,5,9,.556,6,34,40,8,2,4,5,14,42
328,Dwight Powell\poweldw01,C,27,DAL,9,0,133,30,43,.698,3,10,.300,27,33,.818,.733,20,26,.769,11,23,34,9,8,4,9,26,83
329,Norman Powell\powelno01,SG,25,TOR,9,2,149,20,40,.500,9,20,.450,11,20,.550,.613,6,8,.750,1,18,19,9,4,1,6,13,55
330,Alex Poythress\poythal01,PF,25,ATL,5,0,89,11,21,.524,2,5,.400,9,16,.563,.571,6,13,.462,9,14,23,6,2,1,4,16,30
331,Zhou Qi\qizh01,PF,23,HOU,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2
332,Ivan Rabb\rabbiv01,PF,21,MEM,3,0,26,3,5,.600,0,1,.000,3,4,.750,.600,3,5,.600,2,8,10,3,1,1,4,4,9
333,Julius Randle\randlju01,C,24,NOP,8,1,187,52,96,.542,4,14,.286,48,82,.585,.563,38,49,.776,13,48,61,17,6,4,20,31,146
334,J.J. Redick\redicjj01,SG,34,PHI,9,0,278,53,136,.390,33,83,.398,20,53,.377,.511,27,29,.931,4,26,30,30,4,1,12,13,166
335,Josh Richardson\richajo01,SG,25,MIA,7,7,239,47,116,.405,19,53,.358,28,63,.444,.487,21,24,.875,7,24,31,19,7,7,15,22,134
336,Malachi Richardson\richama01,SG,23,TOR,5,0,29,2,9,.222,2,9,.222,0,0,,.333,1,2,.500,1,3,4,0,0,0,1,4,7
337,Austin Rivers\riverau01,SG,26,WAS,8,0,186,19,51,.373,9,29,.310,10,22,.455,.461,5,7,.714,2,15,17,14,3,5,11,19,52
338,Duncan Robinson\robindu01,PF,24,MIA,1,0,10,1,3,.333,1,3,.333,0,0,,.500,0,0,,0,4,4,0,1,0,0,0,3
339,Glenn Robinson\robingl02,SF,25,DET,6,0,77,9,19,.474,1,5,.200,8,14,.571,.500,4,5,.800,2,7,9,0,2,1,2,3,23
340,Jerome Robinson\robinje01,SG,21,LAC,5,0,21,5,12,.417,2,5,.400,3,7,.429,.500,0,0,,0,2,2,0,0,0,1,3,12
341,Mitchell Robinson\robinmi01,C,20,NYK,7,4,119,16,24,.667,0,0,,16,24,.667,.667,6,10,.600,16,12,28,4,6,5,2,13,38
342,Rajon Rondo\rondora01,PG,32,LAL,5,2,139,24,45,.533,6,13,.462,18,32,.563,.600,2,2,1.000,4,17,21,37,5,0,13,16,56
343,Derrick Rose\rosede01,PG,30,MIN,9,1,244,57,128,.445,10,27,.370,47,101,.465,.484,29,38,.763,11,21,32,42,6,2,15,13,153
344,Terrence Ross\rosste01,SG,27,ORL,8,0,187,35,94,.372,14,46,.304,21,48,.438,.447,7,8,.875,3,16,19,16,10,5,8,21,91
345,Terry Rozier\roziete01,PG,24,BOS,8,0,186,23,62,.371,9,24,.375,14,38,.368,.444,7,8,.875,2,33,35,18,7,4,4,14,62
346,Ricky Rubio\rubiori01,PG,28,UTA,8,8,237,28,78,.359,11,32,.344,17,46,.370,.429,18,21,.857,2,19,21,61,9,2,26,23,85
347,D'Angelo Russell\russeda01,PG,22,BRK,9,9,249,48,120,.400,22,55,.400,26,65,.400,.492,15,19,.789,5,28,33,47,6,4,25,14,133
348,Domantas Sabonis\sabondo01,C,22,IND,8,0,177,42,62,.677,1,1,1.000,41,61,.672,.685,25,31,.806,24,46,70,16,6,6,18,23,110
349,Dario Saric\saricda01,PF,24,PHI,9,9,273,31,94,.330,12,50,.240,19,44,.432,.394,15,18,.833,17,46,63,20,4,2,16,29,89
350,Tomas Satoransky\satorto01,SG,27,WAS,8,0,105,9,26,.346,3,6,.500,6,20,.300,.404,12,12,1.000,3,12,15,20,1,2,3,12,33
351,Dennis Schroder\schrode01,PG,25,OKC,8,2,229,41,109,.376,10,30,.333,31,79,.392,.422,25,32,.781,5,27,32,48,8,1,22,27,117
352,Mike Scott\scottmi01,PF,30,LAC,9,0,112,13,24,.542,7,14,.500,6,10,.600,.688,0,0,,2,19,21,11,4,0,3,16,33
353,Wayne Selden\seldewa01,SG,24,MEM,7,0,109,19,36,.528,8,17,.471,11,19,.579,.639,5,7,.714,2,4,6,7,4,0,8,13,51
354,Collin Sexton\sextoco01,PG,20,CLE,8,0,194,32,75,.427,2,8,.250,30,67,.448,.440,30,33,.909,7,14,21,18,4,1,18,18,96
355,Landry Shamet\shamela01,SG,21,PHI,9,1,169,20,51,.392,14,37,.378,6,14,.429,.529,5,7,.714,2,9,11,7,5,1,3,11,59
356,Iman Shumpert\shumpim01,SG,28,SAC,7,5,157,24,50,.480,14,32,.438,10,18,.556,.620,6,7,.857,1,20,21,11,6,4,5,16,68
357,Pascal Siakam\siakapa01,PF,24,TOR,9,8,234,42,69,.609,3,13,.231,39,56,.696,.630,10,17,.588,12,49,61,19,11,5,14,25,97
358,Ben Simmons\simmobe01,PG,22,PHI,8,8,250,43,91,.473,0,0,,43,91,.473,.473,24,38,.632,22,54,76,67,8,5,28,26,110
359,Jonathon Simmons\simmojo02,SG,29,ORL,6,0,144,17,59,.288,4,21,.190,13,38,.342,.322,13,16,.813,6,13,19,16,2,2,9,15,51
360,Anfernee Simons\simonan01,SG,19,POR,2,0,3,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,1,2
361,Marcus Smart\smartma01,SG,24,BOS,8,0,186,12,36,.333,3,20,.150,9,16,.563,.375,11,15,.733,5,18,23,28,8,3,11,22,38
362,Dennis Smith\smithde03,PG,21,DAL,8,8,241,52,116,.448,11,33,.333,41,83,.494,.496,17,26,.654,5,13,18,30,8,3,27,23,132
363,Ish Smith\smithis01,PG,30,DET,7,0,201,33,66,.500,12,26,.462,21,40,.525,.591,4,5,.800,1,16,17,23,2,2,9,20,82
364,J.R. Smith\smithjr01,SG,33,CLE,4,0,48,3,13,.231,0,6,.000,3,7,.429,.231,4,4,1.000,0,4,4,1,3,0,3,3,10
365,Jason Smith\smithja02,C,32,WAS,6,1,89,10,24,.417,2,4,.500,8,20,.400,.458,7,8,.875,9,19,28,8,1,4,4,14,29
366,Tony Snell\snellto01,SG,27,MIL,8,0,131,21,38,.553,10,25,.400,11,13,.846,.684,3,5,.600,2,11,13,6,2,2,2,11,55
367,Ray Spalding\spaldra01,PF,21,DAL,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
368,Omari Spellman\spellom01,PF,21,ATL,7,0,126,17,40,.425,7,18,.389,10,22,.455,.513,5,8,.625,13,16,29,8,3,2,6,13,46
369,Nik Stauskas\stausni01,SG,25,POR,8,0,177,27,58,.466,15,31,.484,12,27,.444,.595,12,12,1.000,4,17,21,17,3,1,7,9,81
370,Lance Stephenson\stephla01,SG,28,LAL,8,0,153,36,68,.529,9,20,.450,27,48,.563,.596,5,7,.714,8,26,34,21,9,0,11,18,86
371,Edmond Sumner\sumneed01,PG,23,IND,5,0,20,1,4,.250,0,1,.000,1,3,.333,.250,0,2,.000,1,0,1,1,1,0,1,3,2
372,Caleb Swanigan\swanica01,PF,21,POR,4,0,57,7,18,.389,1,2,.500,6,16,.375,.417,4,5,.800,6,21,27,2,1,0,6,11,19
373,Jayson Tatum\tatumja01,SF,20,BOS,8,8,260,44,108,.407,10,31,.323,34,77,.442,.454,30,34,.882,8,55,63,20,5,2,15,23,128
374,Jeff Teague\teaguje01,PG,30,MIN,7,7,212,28,78,.359,7,22,.318,21,56,.375,.404,26,28,.929,1,16,17,48,6,1,13,18,89
375,Garrett Temple\templga01,SG,32,MEM,7,7,217,31,68,.456,17,35,.486,14,33,.424,.581,19,23,.826,5,21,26,8,7,3,8,16,98
376,Milos Teodosic\teodomi01,PG,31,LAC,5,0,57,7,11,.636,5,8,.625,2,3,.667,.864,1,2,.500,2,9,11,13,1,1,7,7,20
377,Daniel Theis\theisda01,C,26,BOS,5,0,61,13,23,.565,2,5,.400,11,18,.611,.609,2,3,.667,7,10,17,4,0,1,4,13,30
378,Lance Thomas\thomala01,PF,30,NYK,9,5,154,11,33,.333,4,14,.286,7,19,.368,.394,10,11,.909,4,16,20,6,7,2,6,21,36
379,Klay Thompson\thompkl01,SG,28,GSW,10,10,331,78,174,.448,24,73,.329,54,101,.535,.517,18,21,.857,5,36,41,14,7,5,18,23,198
380,Tristan Thompson\thomptr01,C,27,CLE,8,8,214,28,58,.483,0,0,,28,58,.483,.483,7,12,.583,34,38,72,16,5,3,10,18,63
381,Anthony Tolliver\tollian01,PF,33,MIN,9,0,189,19,41,.463,16,36,.444,3,5,.600,.659,6,10,.600,3,23,26,8,5,8,6,23,60
382,Karl-Anthony Towns\townska01,C,23,MIN,9,9,293,54,125,.432,20,46,.435,34,79,.430,.512,36,40,.900,24,72,96,20,8,19,25,31,164
