Own,Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
,2,22,0.318129918,Will Barton,Injured - hip (20g),DEN,G,2,26.99166667,16.5,2.5,5,3,0.5,1,0.571428571,10.5,1,2,1.5,0.18788199,0.954380233,-0.33524382,-0.041635089,-0.889074399,0.368198335,1.25060732,1.034303736,0.333750957
,30,352,-0.835798939,Yuta Watanabe,,MEM,F,1,4.516666667,2,0,2,0,0,0,0,0,1,2,1,-2.267097283,-1.366028484,-1.350669244,-1.44101262,-1.844732747,-1.146326102,0.021865648,1.034303736,0.837506643
,9,100,-0.156104771,Jayson Tatum,,BOS,F,7,32.5952381,16.57142857,1.142857143,8.142857143,2.285714286,0.714285714,0.285714286,0.404040404,14.14285714,0.875,4.571428571,1.857142857,0.199975484,-0.305270213,0.728535196,-0.374820215,-0.479506535,-0.713604834,-1.436076308,1.001899021,-0.026074534
,10,109,-0.172225503,Malcolm Brogdon,,MIL,G,7,30.74047619,13,1.428571429,3.571428571,3.857142857,0.571428571,0.142857143,0.5,9.714285714,1,1.857142857,2,-0.404699214,-0.040080645,-0.818779736,0.358187063,-0.752551778,-0.929965468,0.246234976,0.961630004,-0.17000473
,4,46,0.043431462,Mike Conley,,MEM,G,6,31.41111111,19,1.833333333,3.666666667,6.166666667,1.333333333,0.166666667,0.381443299,16.16666667,0.852941176,5.666666667,1.666666667,0.611154278,0.335604575,-0.786544008,1.435485639,0.703689515,-0.893905363,-2.125087726,0.944653849,0.165832394
,2,17,0.465791605,Khris Middleton,,MIL,F,7,30.60952381,20.71428571,4,5.571428571,3.857142857,1.428571429,0.285714286,0.494505495,13,0.870967742,4.428571429,2.428571429,0.901398133,2.346625463,-0.141829453,0.358187063,0.885719676,-0.713604834,0.228198429,0.929225289,-0.601795318
,1,10,0.587941344,Kemba Walker,,CHA,G,8,33.87291667,30.125,4.5,4.125,6,0.75,0.375,0.460227273,22,0.843137255,6.375,1.875,2.494715961,2.810707206,-0.631409568,1.357742443,-0.411245225,-0.578379438,-0.620599442,0.914005969,-0.044065808
,3,31,0.191452539,Zach LaVine,,CHI,G,8,33.675,28.125,2.375,5,3.625,0.75,0.625,0.509803922,19.125,0.833333333,7.5,4,2.156098131,0.838359797,-0.33524382,0.249901897,-0.411245225,-0.199748329,0.71014897,0.899828906,-2.185027476
,22,264,-0.599983368,Tomas Satoransky,,WAS,F,7,13.03095238,4.428571429,0.428571429,1.857142857,2,0.142857143,0.142857143,0.363636364,3.142857143,1,1.714285714,0.428571429,-1.855918488,-0.968244132,-1.399022836,-0.508094266,-1.571687504,-0.929965468,-0.469101318,0.888956272,1.413227428
,14,158,-0.324809256,Nik Stauskas,,POR,G,7,22.36428571,10.14285714,1.857142857,3,2,0.285714286,0.142857143,0.442307692,7.428571429,1,1.714285714,1,-0.888438972,0.357703706,-1.012194103,-0.508094266,-1.298642262,-0.929965468,-0.37011485,0.888956272,0.837506643
,6,69,-0.063323553,Jonas Valanciunas,,TOR,C,8,18.18958333,13.625,0.375,7.25,1.25,0.5,0.625,0.525641026,9.75,0.888888889,3.375,1,-0.298881142,-1.017967176,0.426325249,-0.857938649,-0.889074399,-0.199748329,0.575801472,0.854064353,0.837506643
